2026-04-23 08:27:09,226 | WARNING | auth | supplier '' - username not found in database.
2026-04-23 21:59:08,223 | INFO | supplier_page | Supplier '1' viewed total sales by products.
2026-04-23 21:59:37,491 | INFO | supplier_page | Supplier '1' viewed total sales by products.
2026-04-23 22:00:09,797 | WARNING | auth | employee 'inventory@hwf.com' entered incorrect password.
2026-04-23 22:01:07,114 | INFO | inventory_manager_menu | Employee '5' received supplier order (1, 1) for store '3'.
2026-04-23 22:02:33,513 | INFO | products_page | Customer '1' added product '11' to cart with quantity '2' from store '3'.
2026-04-23 22:03:09,246 | INFO | customer_page | Customer '1' completed checkout for cart '1'.
2026-04-23 22:03:32,083 | INFO | customer_page | customer '1' logged out successfully.
2026-04-23 22:04:14,378 | INFO | delivery_associate | Delivery associate '8' updated delivery '8' to 'completed'.
2026-04-23 22:04:18,250 | INFO | delivery_associate | Delivery associate '8' logged out successfully.
2026-04-24 21:10:08,894 | WARNING | auth | employee 'inventory@hwf.com' entered incorrect password.
2026-04-24 21:10:44,047 | INFO | inventory_manager_menu | Product 8 (quantity: 30) added to inventory for store 3 by employee 5.
2026-04-24 21:14:37,884 | WARNING | auth | employee 'inventory@hwf.com' entered incorrect password.
2026-04-25 18:48:14,107 | WARNING | auth | customer 'hhh@gmadf.com' - username not found in database.
2026-04-25 18:50:50,372 | INFO | auth | New customer registered and given id: '1'.
2026-04-25 18:51:05,773 | INFO | auth | Attempted registration with existing username: 'customer@gmail.com'.
2026-04-25 18:51:40,082 | INFO | auth | New customer registered and given id: '2'.
2026-04-25 18:52:21,580 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 18:54:41,526 | WARNING | auth | Employee attempted to register with invalid store pin.
2026-04-25 18:55:27,626 | WARNING | auth | Employee attempted to register with invalid store pin.
2026-04-25 18:55:42,792 | WARNING | auth | Employee attempted to register with invalid store pin.
2026-04-25 18:57:25,928 | INFO | auth | New employee registered and given id: '5'.
2026-04-25 18:57:58,977 | WARNING | auth | Supplier attempted to register with invalid company pin.
2026-04-25 18:59:43,253 | WARNING | auth | Supplier attempted to register with invalid company pin.
2026-04-25 19:00:12,639 | WARNING | auth | Employee attempted to register with invalid store pin.
2026-04-25 19:01:05,792 | WARNING | auth | Supplier attempted to register with invalid company pin.
2026-04-25 19:01:22,982 | WARNING | auth | Supplier attempted to register with invalid company pin.
2026-04-25 19:02:55,736 | WARNING | auth | customer 'customer@gmail.com' entered incorrect password.
2026-04-25 19:03:12,930 | WARNING | auth | employee 'customer@gmail.com' - username not found in database.
2026-04-25 21:10:19,948 | INFO | products_page | Customer '1' added product '2' to cart with quantity '30' from store '1'.
2026-04-25 21:11:17,983 | INFO | customer_page | Customer '1' completed checkout for cart '1'.
2026-04-25 21:14:48,277 | INFO | products_page | Customer '1' added product '2' to cart with quantity '9' from store '1'.
2026-04-25 21:15:05,641 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 21:15:26,666 | WARNING | auth | customer 'yen.do@gmail.com' entered incorrect password.
2026-04-25 21:15:40,192 | WARNING | auth | customer 'yen.do@gmail.com' entered incorrect password.
2026-04-25 21:16:10,199 | INFO | auth | New customer registered and given id: '3'.
2026-04-25 21:16:43,684 | INFO | products_page | Customer '3' added product '2' to cart with quantity '5' from store '1'.
2026-04-25 21:17:04,855 | INFO | customer_page | Customer '3' completed checkout for cart '2'.
2026-04-25 21:17:12,980 | INFO | customer_page | customer '3' logged out successfully.
2026-04-25 21:18:28,136 | INFO | customer_page | Customer '1' completed checkout for cart '1'.
2026-04-25 23:06:10,323 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 23:06:57,104 | INFO | products_page | Customer '1' added product '9' to cart with quantity '20' from store '4'.
2026-04-25 23:07:07,125 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 23:07:50,534 | INFO | products_page | Customer '3' added product '9' to cart with quantity '10' from store '4'.
2026-04-25 23:08:10,280 | INFO | customer_page | Customer '3' completed checkout for cart '2'.
2026-04-25 23:08:19,598 | INFO | customer_page | customer '3' logged out successfully.
2026-04-25 23:09:16,452 | INFO | customer_page | Customer '1' completed checkout for cart '1'.
2026-04-25 23:09:33,954 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 23:10:38,367 | INFO | products_page | Customer '1' added product '1' to cart with quantity '55' from store '2'.
2026-04-25 23:10:52,387 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 23:11:23,692 | INFO | products_page | Customer '3' added product '1' to cart with quantity '30' from store '2'.
2026-04-25 23:11:42,681 | ERROR | customer_page | Checkout failed for customer '3', cart '2': Transaction already in progress
2026-04-25 23:12:11,489 | ERROR | customer_page | Checkout failed for customer '3', cart '2': Transaction already in progress
2026-04-25 23:15:41,439 | ERROR | customer_page | Checkout failed for customer '1', cart '1': Transaction already in progress
2026-04-25 23:16:59,908 | ERROR | customer_page | Checkout failed for customer '1', cart '1': Transaction already in progress
2026-04-25 23:17:46,538 | ERROR | customer_page | Checkout failed for customer '3', cart '2': Transaction already in progress
2026-04-25 23:19:49,115 | ERROR | customer_page | Checkout failed for customer '3', cart '2': Transaction already in progress
2026-04-25 23:22:59,576 | ERROR | customer_page | Checkout failed for customer '1', cart '1': Transaction already in progress
2026-04-25 23:23:24,159 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 23:23:39,583 | WARNING | auth | customer 'customer@gmail.com' - username not found in database.
2026-04-25 23:24:09,054 | INFO | auth | New customer registered and given id: '1'.
2026-04-25 23:24:29,160 | INFO | auth | New customer registered and given id: '2'.
2026-04-25 23:25:17,572 | INFO | products_page | Customer '1' added product '2' to cart with quantity '10' from store '1'.
2026-04-25 23:25:28,462 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 23:26:21,686 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 23:26:43,728 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 23:27:13,513 | INFO | products_page | Customer '2' added product '2' to cart with quantity '40' from store '1'.
2026-04-25 23:27:34,667 | ERROR | customer_page | Checkout failed for customer '2', cart '2': Transaction already in progress
2026-04-25 23:28:27,844 | INFO | customer_page | Customer '1' completed checkout for cart '1'.
2026-04-25 23:28:34,882 | INFO | customer_page | customer '1' logged out successfully.
2026-04-25 23:29:15,945 | INFO | customer_page | customer '2' logged out successfully.
2026-04-26 00:15:15,354 | WARNING | auth | employee 'jim.halpert@hwf.com' entered incorrect password.
2026-04-26 00:36:23,077 | WARNING | auth | employee 'jim.halpert@hwf.com' - username not found in database.
2026-04-26 00:36:45,524 | WARNING | auth | employee 'jim.halpert@hwf.com' - username not found in database.
2026-04-26 00:41:15,204 | ERROR | __main__ | Seeding failed: name 'bcrypt' is not defined
2026-04-26 00:43:28,091 | INFO | __main__ | Initial stores and store managers seeded successfully.
2026-04-26 00:45:41,518 | INFO | store_manager_menu | Store manager '1' logged out.
2026-04-26 00:46:29,853 | ERROR | __main__ | Seeding failed: name 'password' is not defined
2026-04-26 00:47:07,629 | INFO | __main__ | Initial stores and store managers seeded successfully.
